idx,file,ok,error,bytes,sr,audio_s,total_s,ttfb_ms,max_gap_ms,rtf,emit_every_frames,decode_window_frames,first_chunk_emit_every,first_chunk_decode_window,first_chunk_frames,max_new_tokens,max_frames,overlap_samples,use_optimized_decode,do_sample
1,tts_ab_01_baseline_e4_d64_f2_32_32_mf96_opt1.wav,True,,330138,24000,6.878,25.251,1674.5,1225.6,3.671,4,64,2,32,32,128,96,0,True,False
2,tts_ab_02_e2_d48_f1_24_24_mf96_opt1.wav,True,,264892,24000,5.519,20.383,976.9,596.6,3.694,2,48,1,24,24,128,96,0,True,False
3,tts_ab_03_e2_d64_f1_32_32_mf96_opt1.wav,True,,295630,24000,6.159,23.11,1112.1,621.1,3.752,2,64,1,32,32,128,96,0,True,False
4,tts_ab_04_e4_d48_f2_24_24_mf96_opt1.wav,True,,368548,24000,7.678,26.975,1552.9,1129.2,3.513,4,48,2,24,24,128,96,0,True,False
5,tts_ab_05_e6_d64_f3_32_32_mf128_opt1.wav,True,,364610,24000,7.596,26.762,2168.0,1706.3,3.523,6,64,3,32,32,160,128,0,True,False
6,tts_ab_06_e8_d80_f4_48_48_mf128_opt1.wav,True,,322396,24000,6.717,23.772,2742.6,2233.9,3.539,8,80,4,48,48,160,128,0,True,False
7,tts_ab_07_e4_d80_f2_48_48_mf128_opt1.wav,True,,491466,24000,10.239,36.243,1733.1,1141.5,3.54,4,80,2,48,48,160,128,0,True,False
8,tts_ab_08_e4_d64_f2_32_32_mf128_opt1.wav,True,,341676,24000,7.118,25.589,1633.7,1192.6,3.595,4,64,2,32,32,160,128,0,True,False
9,tts_ab_09_e4_d64_f2_32_32_mf96_opt1_ov256.wav,True,,291772,24000,6.079,22.071,1617.2,1174.0,3.631,4,64,2,32,32,128,96,256,True,False
10,tts_ab_10_e4_d64_f2_32_32_mf96_opt0.wav,True,,348278,24000,7.256,29.207,1296.4,1503.5,4.025,4,64,2,32,32,128,96,0,False,False
